          12asa    4 11ASA 11ASB 12ASA 12ASB
          153l_   13 153LA 154LA 1GBSA 1LSPA 3GXKA 3GXKB 3GXKC 3GXKD 3GXRA 3GXRB 3GXRC 3GXRD 3MGWA
          16pk_   10 13PKA 13PKB 13PKC 13PKD 16PKA 1PHPA 1V6SA 1V6SB 1VPEA 2IE8A
          16vpa    1 16VPA
          19hca    7 19HCA 19HCB 1DUWA 1OFWA 1OFWB 1OFYA 1OFYB
          1a02n   21 1A02C 1OWRI 1OWRJ 1OWRK 1OWRL 1P7HE 1P7HF 1P7HG 1P7HH 1PZUG 1PZUH 1PZUI 1PZUJ 1PZUK 1PZUL 1S9KC 2AS5E 2AS5F 2O93C 2O93D 2O93E
          1a04a    3 1A04A 1A04B 1RNLA
          1a06_    7 1A06A 2JAMA 2JAMB 2JC6A 2JC6B 2W4OA 3DZOA
          1a0aa    2 1A0AC 1A0AD
          1a0ca   12 1A0CA 1A0CB 1A0CC 1A0CD 1A0DA 1A0DB 1A0DC 1A0DD 1A0EA 1A0EB 3KTCA 3KTCB
          1a0fa   15 1A0FA 1A0FB 1N2AA 1N2AB 1PMTA 2PMTA 2PMTB 2PMTC 2PMTD 2X64A 2X64B 2X64C 2X64D 2X64E 2X64F
          1a0i_    1 1A0IA
          1a0p_    1 1A0PA
          1a0tp    9 1A0SA 1A0SB 1A0SC 1A0TA 1A0TB 1A0TC 1OH2A 1OH2B 1OH2C
          1a12a    8 1A12A 1A12B 1A12C 1I2MB 1I2MD 3KCIA 3MVDK 3MVDL
          1a17_    4 1A17A 2BUGA 2VYIA 2VYIB
          1a1ia   28 1A1FC 1A1GC 1A1HC 1A1IC 1A1JC 1A1KC 1A1LC 1AAYC 1F2IG 1F2IH 1F2II 1F2IJ 1F2IK 1F2IL 1G2DE 1G2DF 1G2FE 1G2FF 1JK1C 1JK2C 1LLMC 1LLMD 1P47C 1P47D 1ZAAC 2JP9C 2JPAC 2PRTC
          1a1va    3 1A1VB 1HEIA 1HEIB
          1a1w_    2 1A1WA 1A1ZA
          1a1x_    3 1A1XA 1QTTA 1QTUA
          1a26_   26 1A26A 1EFYA 1GS0A 1GS0B 1PAXA 1UK0A 1UK0B 1UK1A 1UK1B 1WOKA 1WOKB 1WOKC 1WOKD 2PAWA 2PAXA 2RCWA 2RD6A 3GJWA 3GN7A 3KCZA 3KCZB 3KJDA 3KJDB 3L3MA 3PAXA 4PAXA
          1a28a  133 1A28A 1A28B 1E3GA 1E3KA 1E3KB 1GS4A 1I37A 1I38A 1M2ZA 1M2ZC 1NHZA 1P93A 1P93C 1P93E 1P93G 1SQNA 1SQNB 1SR7A 1SR7B 1T5ZA 1T63A 1T65A 1T73A 1T74A 1T76A 1T79A 1T7FA 1T7MA 1T7RA 1T7TA 1XJ7A 1XNNA 1XOWA 1XQ3A 1Y9RA 1Y9RB 1YA3A 1YA3B 1YA3C 1Z95A 1ZUCA 1ZUCB 2A3IA 2AA2A 2AA5A 2AA5B 2AA6A 2AA6B 2AA7A 2AAXA 2AAXB 2AB2A 2AB2B 2ABIA 2ABIB 2ABIC 2AM9A 2AMAA 2AMBA 2AO6A 2AX6A 2AX7A 2AX8A 2AX9A 2AXAA 2HVCA 2IHQA 2NW4A 2OAXA 2OAXB 2OAXC 2OAXD 2OAXE 2OAXF 2OVHA 2OVMA 2OZ7A 2PIOA 2PIPA 2PIQA 2PIRA 2PITA 2PIUA 2PIVA 2PIWA 2PIXA 2PKLA 2PNUA 2Q1HA 2Q1VA 2Q3YA 2Q7IA 2Q7JA 2Q7KA 2Q7LA 2QPYA 2W8YA 2W8YB 2Z4JA 3B5RA 3B65A 3B66A 3B67A 3B68A 3BQDA 3CLDA 3CLDC 3D90A 3D90B 3E7CA 3E7CC 3G0WA 3G8NA 3G8NB 3G8OA 3G8OB 3GN8A 3GN8B 3H52A 3H52B 3H52C 3H52D 3HQ5A 3HQ5B 3K22A 3K22C 3K23A 3K23C 3K23E 3KBAA 3KBAB 3L3XA 3L3ZA
          1a2oa    2 1A2OA 1A2OB
          1a2pa  141 1A2PA 1A2PB 1A2PC 1B20A 1B20B 1B20C 1B21A 1B21B 1B21C 1B27A 1B27B 1B27C 1B2SA 1B2SB 1B2SC 1B2UA 1B2UB 1B2UC 1B2XA 1B2XB 1B2XC 1B2ZA 1B2ZB 1B2ZC 1B3SA 1B3SB 1B3SC 1BANA 1BANB 1BANC 1BAOA 1BAOB 1BAOC 1BGSA 1BGSB 1BGSC 1BNEA 1BNEB 1BNEC 1BNFA 1BNFB 1BNFC 1BNGA 1BNGB 1BNGC 1BNIA 1BNIB 1BNIC 1BNJA 1BNJB 1BNJC 1BNRA 1BNSA 1BNSB 1BNSC 1BRGA 1BRGB 1BRGC 1BRHA 1BRHB 1BRHC 1BRIA 1BRIB 1BRIC 1BRJA 1BRJB 1BRJC 1BRKA 1BRKB 1BRKC 1BRNC 1BRND 1BRSA 1BRSB 1BRSC 1BSAA 1BSAB 1BSAC 1BSBA 1BSBB 1BSBC 1BSCA 1BSCB 1BSCC 1BSDA 1BSDB 1BSDC 1BSEA 1BSEB 1BSEC 1BUJA 1FW7A 1GOUA 1GOUB 1GOVA 1GOVB 1GOYA 1GOYB 1RNBB 1X1UA 1X1UB 1X1UC 1X1WA 1X1WB 1X1WC 1X1XA 1X1XB 1X1XC 1X1YA 1X1YB 1X1YC 1YVSA 2C4BA 2C4BB 2F4YA 2F4YB 2F4YC 2F56A 2F56B 2F56C 2F5MA 2F5MB 2F5MC 2F5WA 2F5WB 2F5WC 2KF3A 2KF4A 2KF5A 2KF6A 2RBIA 2RBIB 2ZA4A 2ZA4C 3DA7A 3DA7B 3DA7E 3DA7G 3KCHA 3KCHB 3KCHC
          1a2va   45 1A2VA 1A2VB 1A2VC 1A2VD 1A2VE 1A2VF 1EKMA 1EKMB 1EKMC 2OOVA 2OOVB 2OOVC 2OOVD 2OOVE 2OOVF 2OQEA 2OQEB 2OQEC 2OQED 2OQEE 2OQEF 3FHAC 3HEFA 3HEFB 3LOYA 3LOYB 3LOYC 3N9HA 3N9HB 3N9HC 3N9HD 3N9HE 3N9HF 3NBBA 3NBBB 3NBBC 3NBBD 3NBBE 3NBBF 3NBJA 3NBJB 3NBJC 3NBJD 3NBJE 3NBJF
          1a2za   42 1A2ZA 1A2ZB 1A2ZC 1A2ZD 1IOFA 1IOFB 1IOFC 1IOFD 1IOIA 1IOIB 1IOIC 1IOID 1IU8A 1IU8B 1X10A 1X10B 1X10C 1X10D 1X12A 1X12B 1X12C 1X12D 1Z8TA 1Z8TB 1Z8TC 1Z8TD 1Z8WA 1Z8WB 1Z8WC 1Z8WD 1Z8XA 1Z8XB 1Z8XC 1Z8XD 2DF5A 2DF5B 2DF5C 2DF5D 2EO8A 2EO8B 2EO8C 2EO8D
          1a31a    6 1A31C 1A35C 1EJ9C 1K4SD 1NH3D 1RR8C
          1a32_   10 1A32A 1AB3A 1DK1B 1F7YB 1G1XF 1G1XI 1KUQB 2FKXA 2X9TO 2ZKQV
          1a34a    1 1A34C
          1a36a   11 1A36C 1K4TD 1LPQC 1R49C 1RRJC 1SC7D 1SEUD 1T8ID 1TL8D 2B9SD 3L4CA
          1a3aa    6 1A3AA 1A3AB 1A3AC 1A3AD 1J6TA 2FEWA
          1a3c_   19 1A3CA 1A4XA 1A4XB 1NONA 1NONB 1NONC 1NOND 1UFRA 1UFRB 1UFRC 1UFRD 1W30A 1W30B 1XZ8A 1XZ8B 1XZNA 1XZNB 2IGBA 2IGBB
          1a3k_   15 1A3KA 1KJLA 1KJRA 2NMNA 2NMOA 2NN8A 2WSUA 2WSUB 2WSUC 2WSUD 2WSVA 2WT0A 2WT1A 2WT2A 2WT2B
          1a3qa   34 1A3QC 1A3QD 1BFSA 1IKNB 1LE5F 1LE5H 1LE9F 1LE9H 1LEID 1NFIB 1NFID 1NFKC 1NFKD 1OOAC 1OOAD 1SVCB 1U36A 1U3JA 1U3YA 1U3ZA 1U41A 1U41B 1U41C 1U41D 1U42A 1VKXD 2I9TD 2O61D 2V2TB 3DO7E 3GUTB 3GUTD 3GUTF 3GUTH
          1a3wa    4 1A3WA 1A3WB 1A3XA 1A3XB
          1a41_    4 1A41A 2H7FC 2H7GC 3IGCA
          1a44_   14 1A44A 1B7AA 1B7AB 1BD9A 1BD9B 1BEHA 1BEHB 1KN3A 2IQXA 2IQXB 2IQXC 2IQYA 2JYZA 2QYQA
          1a48_    6 1A48A 1OBDA 1OBGA 2CNQA 2CNUA 2CNVA
          1a49a  114 1A49A 1A49B 1A49C 1A49D 1A49E 1A49F 1A49G 1A49H 1A5UA 1A5UB 1A5UC 1A5UD 1A5UE 1A5UF 1A5UG 1A5UH 1AQFA 1AQFB 1AQFC 1AQFD 1AQFE 1AQFF 1AQFG 1AQFH 1F3WA 1F3WB 1F3WC 1F3WD 1F3WE 1F3WF 1F3WG 1F3WH 1F3XA 1F3XB 1F3XC 1F3XD 1F3XE 1F3XF 1F3XG 1F3XH 1PKMA 1PKNA 1T5AA 1T5AB 1T5AC 1T5AD 1ZJHA 2G50A 2G50B 2G50C 2G50D 2G50E 2G50F 2G50G 2G50H 2VGBA 2VGBB 2VGBC 2VGBD 2VGFA 2VGFB 2VGFC 2VGFD 2VGGA 2VGGB 2VGGC 2VGGD 2VGIA 2VGIB 2VGIC 2VGID 3BJFA 3BJFB 3BJFC 3BJFD 3BJTA 3BJTB 3BJTC 3BJTD 3EOEA 3EOEB 3EOEC 3G2GA 3G2GB 3G2GC 3G2GD 3GG8A 3GG8B 3GG8C 3GG8D 3GQYA 3GQYB 3GQYC 3GQYD 3GR4A 3GR4B 3GR4C 3GR4D 3H6OA 3H6OB 3H6OC 3H6OD 3ME3A 3ME3B 3ME3C 3ME3D 3N25A 3N25B 3N25C 3N25D 3N25E 3N25F 3N25G 3N25H
          1a4ia    8 1A4IA 1A4IB 1DIAA 1DIAB 1DIBA 1DIBB 1DIGA 1DIGB
          1a4ma   42 1A4LA 1A4LB 1A4LC 1A4LD 1A4MA 1A4MB 1A4MC 1A4MD 1ADDA 1FKWA 1FKXA 1KRMA 1NDVA 1NDWA 1NDYA 1NDZA 1O5RA 1QXLA 1UIOA 1UIPA 1UMLA 1V79A 1V7AA 1VFLA 1W1IE 1W1IF 1W1IG 1W1IH 1WXYA 1WXZA 2ADAA 2BGNE 2BGNF 2BGNG 2BGNH 2E1WA 2WE7A 2WE7B 2WE8A 2WE8B 2Z7GA 3IARA
          1a4pa    4 1A4PA 1A4PB 1BT6A 1BT6B
          1a4sa   23 1A4SA 1A4SB 1A4SC 1A4SD 1BPWA 1BPWB 1BPWC 1BPWD 2WMEA 2WMEB 2WMEC 2WMED 2WMEE 2WMEF 2WMEG 2WMEH 2WOXA 2WOXB 2WOXC 2WOXD 3F7XA 3M92A 3M92B
          1a4ya   11 1A4YA 1A4YC 1DFJB 1Z7XB 1Z7XD 2BEXA 2BEXB 2BNHA 2Q4GB 2Q4GD 3GOZA
          1a53_    8 1A53A 1IGSA 1JUKA 1JULA 1LBFA 1LBLA 2C3ZA 3HOJA
          1a59_    9 1A59A 3HWKA 3HWKB 3HWKC 3HWKD 3HWKE 3HWKF 3HWKG 3HWKH
          1a5t_   15 1A5TA 1JR3E 1XXHE 1XXHJ 1XXIE 1XXIJ 3GLFE 3GLFJ 3GLGE 3GLGJ 3GLHE 3GLHJ 3GLHO 3GLIE 3GLIJ
